customer_id,customer_name,country,date_of_birth,gender,address,id_number,customer_type,onboarding_date,risk_category
CUS141092,Yuudayeva Valentinovna Yudayeva,Venezuela,26-04-1990,Female,"547 Hill Street, Barquisimeto, Venezuela",RQ5291006,Business,03-01-2024,High
CUS141093,Chloe Bakshi,Ethiopia,18-10-1998,Female,"405 River Boulevard, Dire Dawa, Ethiopia",CH3359528,Individual,26-04-2018,Low
CUS141094,Maria Kumar,South Africa,12-02-1960,Female,"23 Main Drive, Pretoria, South Africa",HO2928561,Individual,01-05-2018,Low
CUS141095,Kenji Smith,Egypt,20-12-1996,Male,"129 Main Way, Luxor, Egypt",TF8897499,Individual,08-11-2024,Low
CUS141096,Navjot Singh Sidhu,India,20-10-1963,Male,"926 King Drive, Bangalore, India",AF2608332,Individual,30-04-2021,Medium
CUS141097,Yuki Ahmed,Italy,26-09-2006,Female,"856 Lake Way, Rome, Italy",OG5816884,Individual,25-08-2018,Low
CUS141098,Arjun Martinez,Bangladesh,30-05-1965,Male,"426 Queen Boulevard, Sylhet, Bangladesh",MU7127510,Individual,27-09-2023,Low
CUS141099,Adaeze Müller,Russia,18-08-1953,Female,"834 Central Drive, Saint Petersburg, Russia",VV0930606,Individual,10-04-2023,Low
CUS141100,Felix Ivanov,Ethiopia,17-10-1993,Male,"762 Hill Avenue, Mekelle, Ethiopia",VV1579428,Individual,31-05-2015,Low
CUS141101,Nadia Brown,Ethiopia,03-02-1966,Female,"501 Hill Boulevard, Mekelle, Ethiopia",QK5316187,Individual,24-03-2016,Low
CUS141102,Yusuf Wang,Nigeria,27-02-1992,Male,"519 Green Court, Abuja, Nigeria",CF9356908,Individual,10-04-2023,Low
CUS141103,Ahmed Singh,Malaysia,03-08-1997,Male,"117 Green Road, Kuala Lumpur, Malaysia",OH5702224,Individual,05-05-2024,Low
CUS141104,Wei Smith,Malaysia,25-07-1977,Male,"805 Main Road, Penang, Malaysia",CS5504748,Individual,30-12-2017,Low
CUS141105,Liam Ivanov,Indonesia,03-08-1959,Male,"641 Green Boulevard, Medan, Indonesia",PT1227411,Business,22-05-2016,Low
CUS141106,Ivan Patel,Russia,25-11-1952,Male,"505 Main Boulevard, Moscow, Russia",ON4738233,Individual,16-12-2021,Low
CUS141107,Yasmin Bakshi,Malaysia,18-07-2004,Female,"795 Lake Lane, Penang, Malaysia",CN3785525,Individual,27-10-2018,Low
CUS141108,Svetlana Bakshi,Saudi Arabia,16-10-1972,Female,"815 Central Drive, Mecca, Saudi Arabia",XM4413584,Individual,09-03-2017,Low
CUS141109,Yuki Patel,Germany,16-10-1966,Female,"309 Hill Street, Berlin, Germany",NB1830154,Individual,27-03-2016,Low
CUS141110,Yusuf Kim,France,13-02-1987,Male,"757 Oak Lane, Lyon, France",LJ6127090,Business,27-03-2024,Medium
CUS141111,Oliver Park,Turkey,25-11-1979,Male,"437 King Avenue, Izmir, Turkey",EQ6043720,Business,18-06-2023,Low
CUS141112,Dmitri Kowalski,Iran,23-08-1974,Male,"628 Queen Street, Mashhad, Iran",LM9431401,Individual,20-04-2020,Low
CUS141113,Mohammed Nguyen,Syria,15-12-2006,Male,"713 Hill Boulevard, Damascus, Syria",HO2055620,Individual,04-02-2019,Low
CUS141114,Oliver Nwosu,Spain,07-08-2000,Male,"438 Central Drive, Seville, Spain",GO6964748,Business,11-08-2017,Low
CUS141115,Leila Ahmed,United States,02-04-2007,Female,"62 Lake Way, Los Angeles, United States",NG9564445,Individual,09-07-2019,Low
CUS141116,Ravi Patel,Russia,12-08-1988,Male,"778 River Road, Saint Petersburg, Russia",VW8850849,Individual,20-11-2024,Low
CUS141117,Yuki Garcia,Egypt,12-05-1970,Female,"808 Queen Drive, Alexandria, Egypt",CQ8433525,Individual,05-12-2015,Low
CUS141118,Elena Andersen,Indonesia,12-03-1991,Female,"634 Lake Street, Medan, Indonesia",NN4647786,Individual,11-02-2015,Low
CUS141119,Patrick Andersen,France,16-04-1969,Male,"799 Main Boulevard, Bordeaux, France",ZC5341556,Individual,17-09-2022,Low
CUS141120,Viktar Hryhoryavich Halavanau,Venezuela,22-11-1967,Female,"547 Lake Road, Valencia, Venezuela",QL2900602,Individual,20-09-2020,High
CUS141121,David Reyes,Brazil,02-01-1996,Male,"74 River Road, São Paulo, Brazil",LG7547132,Individual,06-03-2015,Low
CUS141122,Leila Moreira,Brazil,19-10-1967,Female,"659 Lake Lane, Salvador, Brazil",WL6775830,Individual,27-08-2024,Low
CUS141123,Zara Patel,Syria,29-09-1985,Female,"115 Oak Drive, Aleppo, Syria",FC4541879,Individual,02-08-2020,Low
CUS141124,Andrei Alexandrovich Strizhov,Pakistan,03-11-1972,Male,"487 Central Avenue, Karachi, Pakistan",JE7058486,Individual,23-01-2023,High
CUS141125,Grace Ahmed,Brazil,31-03-1985,Female,"697 Main Street, Rio de Janeiro, Brazil",AZ5594471,Individual,29-12-2019,Low
CUS141126,Hassan Garcia,Egypt,03-12-2004,Male,"694 King Road, Luxor, Egypt",CP7868896,Business,21-07-2022,Low
CUS141127,Kongg Kong,Russia,22-02-1960,Female,"685 Main Boulevard, Saint Petersburg, Russia",AU5738575,Individual,30-04-2021,High
CUS141128,Amir Patel,Russia,29-05-1971,Male,"171 Central Boulevard, Kazan, Russia",EZ9817059,Individual,31-10-2016,Low
CUS141129,Grace Garcia,Saudi Arabia,07-05-1950,Female,"451 King Lane, Mecca, Saudi Arabia",FG0760359,Individual,17-03-2021,Low
CUS141130,Kassem Mohamad Saleh,Syria,01-09-1989,Male,"869 Queen Road, Damascus, Syria",RP9676710,Individual,14-11-2016,High
CUS141131,Deb Haaland,United States,02-12-1960,Female,"773 River Lane, Miami, United States",JZ3217143,Individual,29-01-2021,Medium
CUS141132,Ivan Ivanovich Melnikov,France,10-01-1954,Female,"750 Oak Way, Lyon, France",SB2486747,Individual,14-09-2022,High
CUS141133,Tariq Martinez,Kenya,24-09-1962,Male,"615 Main Boulevard, Kisumu, Kenya",IF3559495,Individual,20-11-2019,Low
CUS141134,Zara Martinez,Indonesia,22-06-1959,Female,"827 Oak Drive, Surabaya, Indonesia",LV4638457,Individual,23-04-2020,Medium
CUS141135,Tariq Rossi,Russia,26-12-2004,Male,"51 Main Road, Kazan, Russia",ZM4109865,Individual,03-07-2020,Medium
CUS141136,James Ivanov,Saudi Arabia,12-03-1993,Male,"169 King Drive, Mecca, Saudi Arabia",GT3018967,Individual,21-06-2017,Low
CUS141137,Dmitri Wang,Indonesia,22-07-1967,Male,"915 Green Boulevard, Medan, Indonesia",BJ4503430,Individual,13-07-2016,Low
CUS141138,Siti Smith,China,10-04-1949,Female,"421 Queen Way, Shenzhen, China",XX3196003,Individual,07-08-2017,Low
CUS141139,Armando Martinez Duarte,Iran,21-08-1968,Female,"209 King Court, Tabriz, Iran",FP3823426,Business,16-06-2020,High
CUS141140,James Okafor,Canada,11-04-1949,Male,"299 River Drive, Vancouver, Canada",RC1309000,Business,08-11-2023,Low
CUS141141,Nkechi Ivanov,Mexico,24-06-1984,Female,"772 Main Avenue, Puebla, Mexico",PP8181562,Individual,11-09-2024,Low
CUS141142,Felix Kim,Malaysia,01-12-1973,Male,"264 Park Boulevard, Penang, Malaysia",IZ6468004,Individual,25-11-2016,Low
CUS141143,Ahmed Smith,India,18-03-1965,Male,"22 Queen Avenue, Kolkata, India",SL0349382,Individual,22-01-2021,Low
CUS141144,Tahir Dalipi,Nigeria,07-03-2003,Female,"277 Oak Lane, Abuja, Nigeria",XQ3914260,Business,23-03-2016,High
CUS141145,Adaeze Ahmed,Russia,14-04-2008,Female,"925 Main Lane, Moscow, Russia",BI0854743,Individual,17-03-2023,Low
CUS141146,Amina Patel,Turkey,14-07-1971,Female,"313 Central Boulevard, Ankara, Turkey",MK0674698,Business,18-05-2015,Low
CUS141147,Nkechi Martinez,Japan,11-07-2002,Female,"602 Queen Way, Tokyo, Japan",DE5027526,Individual,01-04-2018,Medium
CUS141148,Wei Patel,Turkey,23-06-1970,Male,"798 Park Way, Istanbul, Turkey",DF9274965,Individual,29-07-2023,Low
CUS141149,Ricardo Nguyen,Iran,01-11-1972,Male,"339 King Lane, Tabriz, Iran",OP7122332,Business,10-10-2016,Low
CUS141150,Liam Müller,UK,28-01-1974,Male,"373 Lake Lane, London, UK",MH1889057,Individual,23-12-2021,Low
CUS141151,Ricardo Wang,Malaysia,13-06-1968,Male,"947 Queen Avenue, Kuala Lumpur, Malaysia",LI9642423,Individual,17-08-2020,Low
CUS141152,Hassan Reyes,United States,27-11-1967,Male,"88 Central Street, Chicago, United States",OU0390323,Individual,07-06-2023,Low
CUS141153,Mikhail Patel,Canada,02-12-1998,Male,"659 Queen Road, Montreal, Canada",BT9175146,Individual,01-03-2018,Low
CUS141154,Rania Garcia,Italy,21-05-1959,Female,"201 Central Court, Naples, Italy",IN7686711,Individual,24-06-2024,Medium
CUS141155,Nadia Silva,Germany,27-02-1996,Female,"996 Main Way, Berlin, Germany",RT7383327,Individual,25-05-2024,Low
CUS141156,James Garcia,Ghana,04-05-1954,Male,"668 Central Lane, Tamale, Ghana",KU7626549,Individual,04-06-2015,Low
CUS141157,Alexey Gennadievich Nechaev,Venezuela,15-12-1973,Female,"219 King Avenue, Barquisimeto, Venezuela",SD7454078,Individual,26-08-2015,High
CUS141158,Ayman Sabawi Ibrahim Hasan Al-Tikriti,Malaysia,24-05-1970,Male,"354 Green Court, Penang, Malaysia",ZM7230864,Individual,20-06-2016,High
CUS141159,Amir Martinez,Russia,27-03-1955,Male,"542 Lake Road, Moscow, Russia",ZE7079984,Individual,28-01-2017,Low
CUS141160,Kwame Ahmed,Nigeria,04-12-1984,Male,"702 Central Avenue, Kano, Nigeria",CK3136713,Business,02-01-2024,Low
CUS141161,Hassan Müller,South Africa,22-09-1965,Male,"137 Central Avenue, Pretoria, South Africa",OK1191090,Business,15-02-2018,Medium
CUS141162,Yuki Andersen,Iran,19-04-1959,Female,"845 Central Street, Mashhad, Iran",AB3318854,Individual,13-11-2017,Low
CUS141163,Rania Diallo,Nigeria,25-08-2003,Female,"538 Main Court, Kano, Nigeria",FR2230200,Individual,03-04-2022,Low
CUS141164,Aisha Garcia,Egypt,01-03-1991,Female,"309 River Way, Alexandria, Egypt",YE9571083,Individual,08-01-2017,Low
CUS141165,Anya Kowalski,Bangladesh,17-07-2000,Female,"442 Oak Boulevard, Chittagong, Bangladesh",BC2915692,Individual,20-09-2018,Low
CUS141166,Yasmin Silva,Italy,25-03-1995,Female,"982 Queen Boulevard, Turin, Italy",GR8349305,Individual,13-11-2021,Low
CUS141167,Patrick Andersen,India,09-02-1998,Male,"400 King Street, Kolkata, India",RA0921703,Individual,25-12-2015,Low
CUS141168,Emmanuel Ahmed,Spain,22-09-1988,Male,"514 Queen Way, Madrid, Spain",UX5057591,Individual,25-03-2020,Low
CUS141169,Svetlana Fernandez,China,13-11-1972,Female,"342 Hill Way, Guangzhou, China",UW8181736,Individual,19-03-2021,Low
CUS141170,Cotton Tom,United States,13-05-1977,Male,"974 Hill Boulevard, Los Angeles, United States",VG5271651,Individual,23-07-2018,Medium
CUS141171,David Singh,Canada,27-08-1995,Male,"635 Main Way, Montreal, Canada",KP9390527,Individual,30-09-2021,Low
CUS141172,Mohammead Pakpour,Iran,09-12-1958,Female,"210 King Way, Tehran, Iran",AV1667348,Individual,02-08-2023,High
CUS141173,Samuel Patel,UK,15-08-2002,Male,"131 Main Road, London, UK",ZH7181439,Individual,27-02-2016,Low
CUS141174,L. Vitalievna Kulinich,Pakistan,02-04-1971,Female,"227 King Way, Peshawar, Pakistan",WD4277643,Business,16-03-2018,High
CUS141175,Miriam Chen,Ghana,25-10-1979,Female,"497 Central Drive, Kumasi, Ghana",GU2102407,Business,13-05-2019,Medium
CUS141176,Priya Chen,Kenya,15-10-1948,Female,"814 Oak Street, Nairobi, Kenya",NJ4007190,Individual,23-10-2022,Medium
CUS141177,Isabella Wang,Russia,30-11-2000,Female,"806 King Street, Moscow, Russia",ZR8906915,Individual,02-01-2018,Low
CUS141178,Lucas Nguyen,India,06-08-1957,Male,"671 Queen Street, Chennai, India",JD7614153,Business,27-11-2024,Low
CUS141179,B. Mann,India,17-10-1973,Male,"471 Lake Avenue, Kolkata, India",NK4223930,Individual,18-08-2019,High
CUS141180,Maria Wang,Canada,22-10-1959,Female,"452 Oak Drive, Montreal, Canada",PT2007964,Individual,07-11-2022,Low
CUS141181,Mohammed Bakshi,Venezuela,13-04-1962,Male,"453 Queen Way, Barquisimeto, Venezuela",GI3734933,Individual,06-09-2021,Low
CUS141182,Diego Andersen,Nigeria,12-05-2006,Male,"964 River Drive, Lagos, Nigeria",RX6340684,Individual,19-07-2017,Low
CUS141183,Valentina Andersen,Syria,05-12-2006,Female,"401 Queen Avenue, Aleppo, Syria",OV5444240,Individual,16-11-2022,Low
CUS141184,David Nwosu,Saudi Arabia,06-05-1947,Male,"203 Lake Road, Mecca, Saudi Arabia",XF1685536,Business,07-06-2016,Low
CUS141185,Julia Wang,Malaysia,29-04-1989,Female,"713 Park Street, Kuala Lumpur, Malaysia",ST2462760,Individual,24-10-2023,Low
CUS141186,Svetlana Park,Saudi Arabia,21-05-1948,Female,"294 Park Lane, Mecca, Saudi Arabia",ND7708655,Business,09-04-2024,Low
CUS141187,Emmanuel Martinez,Turkey,07-10-1988,Male,"620 Oak Way, Istanbul, Turkey",AJ2557489,Individual,29-01-2024,Low
CUS141188,Sreten Lukioc,Pakistan,09-05-1970,Female,"117 King Boulevard, Islamabad, Pakistan",NQ3486044,Business,18-06-2016,High
CUS141189,Sueshil Kumar Modi,India,12-11-1952,Male,"677 King Road, Delhi, India",KB8953955,Individual,12-01-2024,High
CUS141190,Rania Chen,Malaysia,18-04-1968,Female,"45 Green Boulevard, Penang, Malaysia",BN0346590,Individual,24-11-2021,Medium
CUS141191,Dmitri Chen,Mexico,13-07-1981,Male,"855 Central Drive, Monterrey, Mexico",IY9204524,Individual,30-09-2024,Low
CUS141192,James Bakshi,Ethiopia,01-06-1967,Male,"613 River Avenue, Mekelle, Ethiopia",LM0377859,Individual,05-08-2022,Low
CUS141193,Yasmin Ito,France,06-03-1957,Female,"1 Queen Avenue, Bordeaux, France",VM6936591,Business,10-07-2023,Low
CUS141194,Carlos Nguyen,China,14-09-1954,Male,"697 Park Boulevard, Shanghai, China",JZ9557124,Individual,30-03-2016,Low
CUS141195,Ivan Park,India,27-11-1970,Male,"278 Hill Street, Bangalore, India",VX7887933,Individual,26-12-2023,Low
CUS141196,Larissa Johnson,Turkey,06-01-1955,Female,"318 Hill Street, Izmir, Turkey",TD5143551,Individual,29-06-2022,Low
CUS141197,Miriam Chen,Canada,20-10-1977,Female,"792 Main Avenue, Vancouver, Canada",PB3261345,Individual,25-07-2021,Low
CUS141198,Ivan Andersen,Canada,02-11-1983,Male,"382 Lake Road, Toronto, Canada",WO8379530,Individual,02-08-2024,Medium
CUS141199,Kwame Garcia,France,15-08-1999,Male,"776 Central Court, Marseille, France",ZU7671048,Individual,16-11-2020,Low
CUS141200,Amina Tanaka,Germany,02-09-1968,Female,"238 Central Avenue, Frankfurt, Germany",KS2798550,Individual,19-06-2019,Low
